arrival time
12:43:45
12:46:58
12:48:06
12:49:11
12:50:48
12:54:44
12:59:36
13:01:50
13:03:47
13:04:20
13:04:48
13:08:06
13:08:16
13:10:13
13:12:31
13:12:52
13:13:42
13:18:00
13:21:08
13:22:17
13:23:13
13:23:59
13:24:21
13:26:32
13:26:38
13:29:13
13:29:26
13:32:47
13:33:36
13:34:06
13:34:21
13:34:35
13:35:40
13:35:51
13:36:05
13:38:20
13:39:57
13:41:32
13:45:26
13:46:35
13:46:56
13:47:52
13:48:49
13:49:05
13:49:50
13:50:49
13:55:25
13:55:57
13:55:59
13:56:21
13:57:22
13:57:29
13:57:32
13:58:49
13:59:10
13:59:56
13:59:59
14:00:06
14:00:17
14:01:14
